coin_page,coin_page-href,ric_id,personality,date,mint,ob_legend,ob_type,re_legend,re_type,brickendonbury,bristol,caistor_by_yarmouth,cambridge,darfield,darfield_2,denbighshire,east_england,edston_peebles_shire,falkirk,muswell_hill,shapwick_villa,st_mary_cray,stevenage,region_a,ain,baden_baden,clavier_3,eauze,eining,elliginies_saint_anne,kempten_lindenberg_3,kirchmatting,koln,mainz,nanterre,niederaschau,pfunz,viuz_faverges,welzheim,wiesbach,wiggensbac,region_b,via_tritone,vicenza,region_c,barza,borgondi,ercsi,francesti,ghirisa,gracic,gunzenhausen,kongen,leskovec,linsberg,muntenesti,nicolaevo,plevna,postojna,reka_devnia,rustschuk,singidunum,taga,uskub,region_d,dura_hoards _3_and_4,haydere,kecel,south_east_turkey,syria,region_e
"2165","http://web3.forest.usf.edu/main/other/severan/coins/2165/","SS RIC 286","Septimius Severus","UNDATED 202-210","Rome","SEVERVS PIVS AVG","Head, laureate, right.","PROVIDENTIA","Head of Medusa facing, on aegis.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1417","http://web3.forest.usf.edu/main/other/severan/coins/1417/","SA RIC 180","Severus Alexander","","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate. (Variants: Head right laureate bust draped.)","VICTORIA AVG","Victory running left, holding wreath and palm.","1","0","0","1","0","0","0","2","0","2","0","0","1","3","10","0","0","7","35","0","1","1","3","3","0","2","0","0","1","0","3","2","58","1","1","2","0","0","1","3","0","1","4","3","0","0","0","1","1","0","106","9","0","2","2","133","0","0","0","3","0","3"
"812","http://web3.forest.usf.edu/main/other/severan/coins/812/","G RIC 58","Geta","209","Rome","P SEPTIMIVS GETA CAES","Bust, draped, cuirassed, bearded, head bare, right.","PONTIF COS II","Minerva seated left, feeding snake coield round olive-tree and holding sceptre: on seat, sphinx: in centre, shield, with owl as ornament.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"157","http://web3.forest.usf.edu/main/other/severan/coins/157/","C RIC 143","Caracalla","201-206","Rome","ANTONINVS PIVS AVG","Bust, laureate, draped, cuirassed, right.","ROMA AETERNA","Roma seated left, holding palladium and spear: beside her, shield.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"707","http://web3.forest.usf.edu/main/other/severan/coins/707/","E RIC 169","Elagabalus","218-219","Eastern","ANTONINVS PIVS FEL AVG","Head right, laureate, bust draped and cuirassed.","CONSVL II P P","Roma seated left, holding Victory and spear; by her side, shield.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0"
"1031","http://web3.forest.usf.edu/main/other/severan/coins/1031/","SA RIC 342","Julia Mamaea","UNDATED","Rome","IVLIA MAMAEA AVG","Bust right, draped.","IVNO CONSERVATRIX","Juno, diademed, and veiled, standing left, holding patera and sceptre; at her feet, peacock.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1728","http://web3.forest.usf.edu/main/other/severan/coins/1728/","SS RIC 440","Septimius Severus","193","Eastern","L SEPT SEV PERT AVG IMP I","Head, laureate, right","FORT REDVC","Fortuna standing left, holding rudder and cornucopiae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"194","http://web3.forest.usf.edu/main/other/severan/coins/194/","C RIC 174","Caracalla","206-210","Rome","ANTONINVS PIVS AVG","Head, laureate, right.","VICTORIAE BRIT","Victory seated left on shields, holding shield on right knee and palm.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1238","http://web3.forest.usf.edu/main/other/severan/coins/1238/","SA RIC 8","Severus Alexander","222","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped and cuirassed.","P M TR P COS P P","Sol radiating, standing left, raising right hand and holding whip.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","http://web3.forest.usf.edu/main/other/severan/coins/135/","C RIC 121","Caracalla","201-206","Rome","ANTONINVS PIVS AVG","Bust, laureate, draped, right.","ADVENTVS AVGVSTOR","Galley left, with rowers and passengers.","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","8","0","0","0","0","0","0"
