ID	Bibliography	Discussion	Title	Ancient City	Roman Province	Date	Low Date	High Date	Low Date Uncertainty	High Date Uncertainty	Dedicator	Honorand	Military	Civic	Administrator	Inscription Type	Keywords	Modern City	Modern Country	Photo	Sole Dedication	Group Dedication	Checked By	Damnatio	Inscription Text	Translation	Notes
61	AE 1971 00028 a/b = CCID 00432					29 June 196					M. Valerius Valentinus						"domus, military, navy, LSS, C, JD,"	Tiber Island	"Italy, Rome"	http://web3.forest.usf.edu/main/other/severan/jdi/images/60.jpg			Proof		Iovi Opt(imo) Max(imo) / Dolicheno / pro salute Imp(eratoris) / L(uci) Septimi Severi Pii Perti/nacis Aug(usti) et M(arci) Aureli Ant/onini Caesar(is) et Iul(iae) Domnae / Aug(ustae) et tot(ius) dom(us) divinae / M(arcus) Valerius Valen/tinus optio cl(assis) pr(aetoriae) Ra(vennatis) de s(uo) fci(t) / militib(us) class(is) Dextro II et Prisco co(n)s(ulibus) // Iusso Caeci/li{i}o Servillia/no c(uratore) o(perum) p(ublicorum) III K(alendas) Iulias	"[A sacrifice] to Jupiter Optimus Maximus Dolichenus for the health of the Imperator Lucius Septimius Severus Pius Pertinax Augustus and Marcus Aurelius Antoninus Caesar and of Julia Domna Augusta and the whole divine house.  Marcus Valerius Valentinus, the assistant of the Praetor of the fleet at Ravenna made this from his own money for the navy soldiers? during the consulship of Dextrus for the second time and Priscus.

b) by the order of Caecilius Servillianus the curator of public works on the third kalens of July."	
394	CIL 08 10263	"Transcription from EDCS.

HG"															"C, JD,"			http://web3.forest.usf.edu/main/other/severan/jdi/images/393.jpg			Translation		Imp(eratori) Caes(ari) M(arco) Aurel(io) / Sev(ero) Anton(ino) Aug(usto) Pi(o) / Fel(ici) Parth(hico) max(imo) Bri(tannico) / max(imo) Ger(manico) max(imo) / pont(ifici) max(imo) trib(unicia) pot(estate) / XVIII imp(eratori) III co(n)s(uli) / IV p(atri) p(atriae) proco(n)s(uli) et / Iul(iae) Aug(ustae) mat(ri) Aug(usti) / et cas/trorum) et sen(atus) ac patri/ae / m(ilia) p(assuum) III		
218	CIL 14 00040	"Transcription from EDCS
Publication CIL 14, 00040 (p 6122) = CIL 14, 04301 = AE 1920, 00092
[SN]

This inscription does not appear to concern Julia Domna."															"C, colony"	Ostia Antica	Latium et Campania / Regio I	http://web3.forest.usf.edu/main/other/severan/jdi/images/217.jpg			Attention!		Tauro[bolium factum Matri deum magn(ae) Idaeae pro salute] / Im[p(eratoris) Caesaris] / M(arci) Aurel[i Antonini Aug(usti) et] / L(uci) A[[ureli [Commodi Caes(aris)]] et] / Faustina[e Aug(ustae) et cetero]/rum libe[rorum eorum senatui XVvir(is) s(acris) f(aciundis) equestri] / ordin(i) ex[ercitui p(opuli) R(omani)] / navigan[tium 3]RO[3] / decurio[nibu]s coloni[ae Ostiensium] / canno[phoris] dendroph[oris] / nata[3]atis taurob[oliatis] / in [campo Matr]is deum col(oniae) [Ostiensium] / [3]q(ue) eorum ea[rumque?]		
365	CIL 08 02371	MW															JD ?			http://web3.forest.usf.edu/main/other/severan/jdi/images/364.jpg			Translation		[illegible]I MAXI[mo trib(unae) pot(esta) ... imp(eratori) ... cos ... p(ater) p(atriae) et iuliae augustae piae] FELICI MATRI EIVS ET C[astrorum et senatus et patriae] COL(oniae) THAMVG NVMINI [maiestatig eorum devota]		
102	AE 1978 00813 a/b																			http://web3.forest.usf.edu/main/other/severan/jdi/images/101.jpg			Image				
326	CIL 13 07417 = D 00433 = CSIR D 03-12 00274	EDCS addition; not in Kettenhoffen				209-211					Quntus Aiacius Modestus Crescentianus						domus	Grosskrotzenburg	Germania Superior	http://web3.forest.usf.edu/main/other/severan/jdi/images/325.jpg			Proof		Pro salute et Victoria et / reditu Imppp(eratorum) Caesss(arum) L(uci) / Septimi Severi Pertina/cis et M(arci) Aureli Antonini / et P(ubli) Septimi [[G[etae]]] Piorum / Auggg(ustorum) et Iuliae Domnae / Augustae matris Augg(ustorum) et / [ca]strorum Q(uintus) Aiacius / [Mo]destus Crescentia/[nus] leg(atus) G(ermaniae) s(uperioris) num(ini?) d[evotus	"For the health and victory and return of our Imperatores Caesares Lucius Septimius Severus Pertinax and Marcus Aurelius Antoninus and Publicus Septimius [[Geta]] Pii Augusti and Julia Domna Augusta mother of the Augusti and of the camp, Quntus Aiacius Modestus Crescentianus, legate of Germania superior vowed this"	
488	IG 00012 00008 00382 = AE 1888 00041																			http://web3.forest.usf.edu/main/other/severan/jdi/images/487.jpg			Image				
111	AE 1984 00921 a/b	"EDCS cites this as AE 1934, +00276 = AE 1984, 00921 

*EDCS states that this inscription was discovered at Dura-Europos and that the Province was Mesopotamia. Dura-Europos, though, was on the Syrian side of the Euphrates which served as the border between the province of Syria (Coele and Phoenice) and Mesopotamia. See also Millar, Fergus. The Roman Near East 31 B.C. - A.D. 337. Harvard University Press 1993, 122.

AB: The date is given because it was originally inscribed after L. Sept. Sev.’s death and deification in 211, but before the damnatio memoriae of Geta in 212. 

JL: M Speidel, Roman army studies, I (1984), p. 301-305, from the shrine of the standards, published by C. Hopkins and Th. Rowell in M. I. Rostovtzeff, The excavations at Dura-Europos, Preliminary Report (1934), p. 218-219 n. 556.  According to AE, the “milites... eius” is on a separate inscription to the right.

Lit from EDH: AE 1984, 0921. (A)
 M.P. Speidel, Roman Army Studies I (Amsterdam 1984) 301-305; fig. 2
 (Zeichnung) - AE 1984.
 AE 1934, 0278. (B)
 C. Hopkins - H.T. Rowell, in: M.I. Rostovtzev (Hrsg.), The excavations at
 Dura-Europos (New Haven 1934) 221-224, Nr. 558-559; fig. 10
 (Zeichnung). (BC) - AE 1934."				211-212					the soldiers of the Antoninian European vexillations						"military, Domus, antonine heritage"	Dura-Europos (inscribed as a votive offering on a tablet) in the Principia (the HQ).	Syria Coele*	http://web3.forest.usf.edu/main/other/severan/jdi/images/110.jpg			Image		Imp(eratori) Caesari divi Septimi Sev[eri Pii Felicis Arab(ici) Adiab(enici) Parthici] / maximi Britannici maximi [filio ---] / [[[---]]] [divi M(arci) Aureli] Anto/nini Pii Germanici Sarmatici nepoti [divi Antonini Pii pron]epoti / divi Hadriani abnepoti divi Trai[ani Parthici et divi N]ervae / adnepoti a [[--- P(ublio) Septimio Getae]] et / [I]u[lia]e Aug(ustae) Piae Felici matri Augg(ustorum) et [castrorum et senatus] et patriae // $ milites] / [vexillationis] / An[toninianorum] / Europa[eorum] / devoti num[ini] / maiestatique / eius	"To the Imperator Caesar, son of the divine Septimius Severus Pius Felix Arabicus Adiabenicus Parthicus Maximus Britannicus Maximus  [[[---]]] grandson of the divine Marcus Aurelius Antoninus Pius Germanicus Sarmaticus; great  grandson of the divine Antoninus Pius; great-great-grandson of the divine Hadrian; great-great-great-grandson of the divine Trajan Parthicus and the divine Nerva a(?) [[--- to Publius Septimius Geta]] and to Julia Augusta Pia Felix mother of the Auggusti and of the Camp and the Senate and the fatherland; the faithful soldiers of the Antonine European vexillation [dedicated this] to his authority and divine will"	
311	CIL 08 25894	"EDCS addition; not in Kettenhoffen

MW

AB: Possibly a duplicate, since there is already an entry for CIL 08, 25894."				198-209					Lurius Seius						"domus, veteran, legion, JD, LSS, C [[G]] NO MATER CASTRORUM"	Skira	Africa Proconsularis	http://web3.forest.usf.edu/main/other/severan/jdi/images/310.jpg			Transcription		I(ovi) O(ptimo) M(aximo) / pro s[alute] / Imp(eratorum) Cae/sar(um) Aug(ustorum) L(uci) / Severi et M(arci) / Antonini [[[et]]] / [[G[etae]]] Caes(aris) / Aug(usti) et Iuliae / Domnae Aug(ustae) / Lurius Seius / veteranus / leg(ionis) II Adi(utricis) / Piae F[i]de(lis) / vot(um) sol(vit) // ]no et Fas[3] / co(n)s(ulibus)	"To Jupiter Optimus Maximus on behalf of the health of the Imperatores Caesares Augusti Lucius Severus and Marus Antoninus [[and Geta]] Caesar Augustus and Julia Domna Augusta, Lurius Seius a veteran of the II Adiutrix Pia Felix legion fulfilled his vow when .... no and Fas... were consuls"	
501	IRT 00406	"Transcription taken from EDCS
MG"															"JD, LSS"	Al Khums / Lepcis Magna	Tripolitana	http://web3.forest.usf.edu/main/other/severan/jdi/images/500.jpg			Image		Iuliae Aug(ustae) / matri castrorum / matri Aug[[g]](ustorum) / coniugi Invicti / Imp(eratoris) Caes(aris) L(uci) Septimi / Severi Pii / Pertinacis Augusti / Arabici Adiabenici / Parthici maximi / curia Augusta / numini eius devotissima posui		
