coin_page,coin_page-href,id_number,region,city,cabinet,catref,date_range,local_date,magistrate,alliance_coin,ob_inscription,ob_type,re_inscription,re_type,metal,average_diameter,average_die_axis,average_weight,notes,obverse-src,reverse-src,monogram_ob1-src,monogram_re1-src,monogram_ob2-src,monogram_re2-src
"2321","http://web3.forest.usf.edu/main/other/severan/spc/2321/","2321","Asia Minor","Tarsus","France","1541","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC Π Π","Bust of Caracalla r., dressed as a demiurge","On the circumference, ANTΩΝΕΙΝIANHC CEVHΡ AΔΡΙΑ ΤΑΡCOV ΓΒ","Elephant l.; above, crown of the demiurge decorated with the letters O M A K K","AE","","","23.36","Cf. n. 1515.","http://web3.forest.usf.edu/main/other/severan/images/db/2321a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321f.jpg"
"2309","http://web3.forest.usf.edu/main/other/severan/spc/2309/","2309","Asia Minor","Tarsus","France","1529","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩ[ΝΕΙΝOC] Π Π","Bust of Caracalla r., dressed as a demiurge","[ANTΩΝΙΑΝΗC CEV AΔΡ MH] TAPCOV AMK ΓΒ","Caracalla holding a Nike, holding a scepter, standing in a quadriga galloping face forward","AE","","","17.39","Obv. Countermark : 1) (symbol in field for Monogram OB1 below), (Howgego 681); 2) head r., wearing a calathus (Sandan?). - Same coin as SNG Levante 1062.","http://web3.forest.usf.edu/main/other/severan/images/db/2309a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309f.jpg"
"1976","http://web3.forest.usf.edu/main/other/severan/spc/1976/","1976","Asia Minor","Smyrna","Fitzwilliam","4584","","","","","ΑυτΚΜΑυρ Αντωνεινος","Caracalla","Σμυρ - - -","Tyche; on head, calathus; in l., cornucopiae; in r., rudder","AE","","6","3.34","Leake, Asia, p. 4. 5(to Aegeae Cilic.); Sotheby 19:vii:1841, 196, Steuart.","http://web3.forest.usf.edu/main/other/severan/images/db/1976a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976f.jpg"
"2445","http://web3.forest.usf.edu/main/other/severan/spc/2445/","2445","Asia Minor","Αnazarbus","France","2088","229/230","248","","","AVT K M A CEO AΛΕΞΑΝΔΡΟC","Radiate bust of Severus Alexander r.","ΑΝΑΖ ΕΝΔΟΞ ΒΓ ΜΗΤΡΟ ΕΤ ΗΜC","Nike holding a trophy, standing in a biga moving at a walking pace r.","AE","","","15.21","Ziegler, Anazarbos, 533, 3.","http://web3.forest.usf.edu/main/other/severan/images/db/2445a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445f.jpg"
"2455","http://web3.forest.usf.edu/main/other/severan/spc/2455/","2455","Asia Minor","Αnazarbus","France","2098","230/231","249","","","ΙΟV ΜΑΜΕΑ CEB","Bust of Julia Mamaea r., on a crescent; legend","ANAZENΔΟΞ Μ(symbol)Ρ ΓΒ","Facade of a decastyle temple","AE","","","10.59","Symbol in Rev. legend found below in Monogram RE1
Ziegler, Anazarbos, 513, 2.","http://web3.forest.usf.edu/main/other/severan/images/db/2455a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455f.jpg"
"2265","http://web3.forest.usf.edu/main/other/severan/spc/2265/","2265","Asia Minor","Tarsus","France","1485","198-217","","","","M AVPHΛΙΟC A[NTΩ]NEINO[C CEB]","Youthful laur. bust of Caracalla R.","On the circumference, [K]OIN[OC] TΩΝ ΤΡΙΩΝ [ΕΠΑΡΧΕΙΩΝ] ΤΑΡCEΩΝ","Crown of Cilicarch decorated with seven imperial heads and ΓΒ","AE","","","19.32","Chandon 1079.","http://web3.forest.usf.edu/main/other/severan/images/db/2265a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265f.jpg"
"2316","http://web3.forest.usf.edu/main/other/severan/spc/2316/","2316","Asia Minor","Tarsus","France","1536","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC Π Π","Bust of Caracalla r., dressed as a demiurge","ΤΑΡCOV MHTPOΠΟΛΕ ΓΒ ΑΜΚ","Agnostic crown with two palms, inscribed OIKOVMENI... and placed on a table whose legs end in lion paws","AE","","","13.95","Wadd. 4642. - Ziegler, Prestige 24, A18.","http://web3.forest.usf.edu/main/other/severan/images/db/2316a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316f.jpg"
"2266","http://web3.forest.usf.edu/main/other/severan/spc/2266/","2266","Asia Minor","Tarsus","France","1486","198-217","","","","M AVPHΛΙΟC A[NTΩ]NEINO[C CEB]","Youthful laur. bust of Caracalla R.","AΔΡ CEVHPI... [TAP]COV MHTPOΠΟΛΕΩC ΓΒ","Nike in motion to L., holding a crown and a palm; legend.","AE","","","12.64","","http://web3.forest.usf.edu/main/other/severan/images/db/2266a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266f.jpg"
"2709","http://web3.forest.usf.edu/main/other/severan/spc/2709/","2709","Asia Minor","Anazarbus","Levante","1432","218-222","","","","AVT K M AV ANTΩΝΙΝΟC","Head of Elagabalus, radiate","ANAZ ENΔΟΞΟV KMA ΓΒ","Capricorn on globe","AE","","","4.36","","http://web3.forest.usf.edu/main/other/severan/images/db/2709a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709f.jpg"
"2422","http://web3.forest.usf.edu/main/other/severan/spc/2422/","2422","Asia Minor","Αnazarbus","France","2065","218-222","","","","AV K M AV ANTΩΝΕΙΝΟC CE","Laur. bust of Elagabalus r.","AΔΡΙΑΝΙΟC OIKOVMENIKOC ANAZAPBOV AMK","Agnostic crown placed on a table whose legs are in the shape of lion paws; legend","AE","","","12.41","Wadd. 4124. - Ziegler, Prestige, 33, B 7; id., Anazarbos, 419, 1.","http://web3.forest.usf.edu/main/other/severan/images/db/2422a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422f.jpg"
